生薬名,structures_json,count
ビャクジュツ（末）,"[{""構造対象"": ""アトラクチロン"", ""検索名"": ""atractylon"", ""PubChem CID"": ""3080635"", ""IUPACName"": ""(4aS,8aR)-3,8a-dimethyl-5-methylidene-4,4a,6,7,8,9-hexahydrobenzo[f][1]benzofuran"", ""SMILES"": """", ""InChIKey"": ""TYPSVDGIQAOBAD-DZGCQCFKSA-N"", ""MolecularFormula"": ""C15H20O"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3080635"", ""class_tags"": []}, {""構造対象"": ""アトラクチレノリドⅠ"", ""検索名"": ""atractylenolide I"", ""PubChem CID"": ""5321018"", ""IUPACName"": ""(4aS,8aS)-3,8a-dimethyl-5-methylidene-4a,6,7,8-tetrahydro-4H-benzo[f][1]benzofuran-2-one"", ""SMILES"": """", ""InChIKey"": ""ZTVSGQPHMUYCRS-SWLSCSKDSA-N"", ""MolecularFormula"": ""C15H18O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5321018"", ""class_tags"": []}, {""構造対象"": ""アトラクチレノリドⅡ"", ""検索名"": ""atractylenolide II"", ""PubChem CID"": ""14448070"", ""IUPACName"": ""(4aS,8aR,9aS)-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one"", ""SMILES"": """", ""InChIKey"": ""OQYBLUDOOFOBPO-KCQAQPDRSA-N"", ""MolecularFormula"": ""C15H20O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/14448070"", ""class_tags"": []}, {""構造対象"": ""アトラクチレノリドⅢ"", ""検索名"": ""atractylenolide III"", ""PubChem CID"": ""155948"", ""IUPACName"": ""(4aS,8aR,9aS)-9a-hydroxy-3,8a-dimethyl-5-methylidene-4,4a,6,7,8,9-hexahydrobenzo[f][1]benzofuran-2-one"", ""SMILES"": """", ""InChIKey"": ""FBMORZZOJSDNRQ-GLQYFDAESA-N"", ""MolecularFormula"": ""C15H20O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/155948"", ""class_tags"": []}, {""構造対象"": ""セスキテルペン"", ""検索名"": ""sesquiterpene"", ""PubChem CID"": ""139087999"", ""IUPACName"": ""1-[(1R,3aS,6R,7R,7aS)-6-hydroxy-4-methylidene-7-propan-2-yl-1,2,3,3a,5,6,7,7a-octahydroinden-1-yl]ethanone"", ""SMILES"": """", ""InChIKey"": ""PJKDZBIZDKARAM-QKGCVVFFSA-N"", ""MolecularFormula"": ""C15H24O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/139087999"", ""class_tags"": [""terpenoid""]}]",5
ブクリョウ（末）,"[{""構造対象"": ""エブリコ酸"", ""検索名"": ""pachymic acid"", ""PubChem CID"": ""5484385"", ""IUPACName"": ""(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3-acetyloxy-16-hydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,7,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methyl-5-methylideneheptanoic acid"", ""SMILES"": """", ""InChIKey"": ""VDYCLYGKCGVBHN-DRCQUEPLSA-N"", ""MolecularFormula"": ""C33H52O5"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5484385"", ""class_tags"": []}, {""構造対象"": ""パチマン（β1→3グルカン）"", ""検索名"": ""pachyman"", ""PubChem CID"": """", ""IUPACName"": """", ""SMILES"": """", ""InChIKey"": """", ""MolecularFormula"": """", ""PubChem URL"": """", ""class_tags"": [""polysaccharide""]}]",2
ブシ（末）,"[{""構造対象"": ""アコニチン"", ""検索名"": ""aconitine"", ""PubChem CID"": ""245005"", ""IUPACName"": ""[(1S,2R,3R,4R,5R,6S,7S,8R,9R,13R,14R,16S,17S,18R)-8-acetyloxy-11-ethyl-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""XFSBVAOIAHNAPC-XTHSEXKGSA-N"", ""MolecularFormula"": ""C34H47NO11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/245005"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""ジェサコニチン"", ""検索名"": ""jesaconitine"", ""PubChem CID"": ""76963334"", ""IUPACName"": ""[(1S,2R,3R,4R,5R,6S,7S,8R,9R,10R,13R,14R,16S,17S,18R)-8-acetyloxy-11-ethyl-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] 4-methoxybenzoate"", ""SMILES"": """", ""InChIKey"": ""MGTJNQWIXFSPLC-DMCHUPBKSA-N"", ""MolecularFormula"": ""C35H49NO12"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/76963334"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""ヒバコニチン"", ""検索名"": ""hypaconitine"", ""PubChem CID"": ""91973803"", ""IUPACName"": ""[(1S,2R,3R,4R,5R,6S,7S,8R,9R,10R,13S,16S,17R,18R)-8-acetyloxy-5,7-dihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-methyl-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""FIDOCHXHMJHKRW-FBYRGYIKSA-N"", ""MolecularFormula"": ""C33H45NO10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/91973803"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""メサコニチン"", ""検索名"": ""mesaconitine"", ""PubChem CID"": ""16401314"", ""IUPACName"": ""[(1S,2R,3R,4R,5R,6S,7S,8R,9R,10R,13R,14R,16S,17S,18R)-8-acetyloxy-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-methyl-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""XUHJBXVYNBQQBD-GQPWXMLZSA-N"", ""MolecularFormula"": ""C33H45NO11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/16401314"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""ベンゾイルアコニン"", ""検索名"": ""benzoylaconine"", ""PubChem CID"": ""60155417"", ""IUPACName"": ""[(1S,2R,3R,4R,5R,6S,7S,8R,9R,10R,13R,14R,16S,17S,18R)-11-ethyl-5,7,8,14-tetrahydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""DHJXZSFKLJCHLH-BMTFSNIDSA-N"", ""MolecularFormula"": ""C32H45NO10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/60155417"", ""class_tags"": [""possible_alkaloid""]}, {""構造対象"": ""ベンゾイルメサコニン"", ""検索名"": ""benzoylmesaconine"", ""PubChem CID"": ""24832659"", ""IUPACName"": ""[(1S,2R,3R,4R,5R,6S,7S,8R,9R,13R,14R,16S,17S,18R)-5,7,8,14-tetrahydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-methyl-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""PULWZCUZNRVAHT-IJNXHYLPSA-N"", ""MolecularFormula"": ""C31H43NO10"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/24832659"", ""class_tags"": [""possible_alkaloid""]}]",6
ボタンピ（末）,"[{""構造対象"": ""ペオノール"", ""検索名"": ""paeonol"", ""PubChem CID"": ""11092"", ""IUPACName"": ""1-(2-hydroxy-4-methoxyphenyl)ethanone"", ""SMILES"": """", ""InChIKey"": ""UILPJVPSNHJFIK-UHFFFAOYSA-N"", ""MolecularFormula"": ""C9H10O3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/11092"", ""class_tags"": []}, {""構造対象"": ""ペオノシド"", ""検索名"": ""paeonoside"", ""PubChem CID"": ""442924"", ""IUPACName"": ""1-[4-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]ethanone"", ""SMILES"": """", ""InChIKey"": ""AVIUTYMRHHBXPB-UXXRCYHCSA-N"", ""MolecularFormula"": ""C15H20O8"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/442924"", ""class_tags"": [""glycoside""]}, {""構造対象"": ""ペオニフロリン"", ""検索名"": ""paeoniflorin"", ""PubChem CID"": ""442534"", ""IUPACName"": ""[(1R,2S,3R,5R,6R,8S)-6-hydroxy-8-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-9,10-dioxatetracyclo[4.3.1.02,5.03,8]decan-2-yl]methyl benzoate"", ""SMILES"": """", ""InChIKey"": ""YKRGDOXKVOZESV-WRJNSLSBSA-N"", ""MolecularFormula"": ""C23H28O11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/442534"", ""class_tags"": []}]",3
マオウ,"[{""構造対象"": ""エフェドリン"", ""検索名"": ""ephedrine"", ""PubChem CID"": ""9294"", ""IUPACName"": ""(1R,2S)-2-(methylamino)-1-phenylpropan-1-ol"", ""SMILES"": """", ""InChIKey"": ""KWGRBVOPPLSCSI-WPRPVWTQSA-N"", ""MolecularFormula"": ""C10H15NO"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/9294"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""プソイドエフェドリン"", ""検索名"": ""pseudoephedrine"", ""PubChem CID"": ""7028"", ""IUPACName"": ""(1S,2S)-2-(methylamino)-1-phenylpropan-1-ol"", ""SMILES"": """", ""InChIKey"": ""KWGRBVOPPLSCSI-WCBMZHEXSA-N"", ""MolecularFormula"": ""C10H15NO"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/7028"", ""class_tags"": [""alkaloid""]}]",2
リュウタン（末）,"[{""構造対象"": ""ゲンチオピクロシド"", ""検索名"": ""gentiopicroside"", ""PubChem CID"": ""88708"", ""IUPACName"": ""(3S,4R)-4-ethenyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4,6-dihydro-3H-pyrano[3,4-c]pyran-8-one"", ""SMILES"": """", ""InChIKey"": ""DUAGQYUORDTXOR-GPQRQXLASA-N"", ""MolecularFormula"": ""C16H20O9"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/88708"", ""class_tags"": [""glycoside""]}]",1
ロートコン,"[{""構造対象"": ""ℓ-ヒヨスチアミン（アトロピン）"", ""検索名"": ""atropine"", ""PubChem CID"": ""174174"", ""IUPACName"": ""[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate"", ""SMILES"": """", ""InChIKey"": ""RKUNBYITZUJHSG-PJPHBNEVSA-N"", ""MolecularFormula"": ""C17H23NO3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/174174"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""スコポラミン"", ""検索名"": ""scopolamine"", ""PubChem CID"": ""3000322"", ""IUPACName"": ""[(1S,2S,4R,5R)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate"", ""SMILES"": """", ""InChIKey"": ""STECJAGHUSJQJN-USLFZFAMSA-N"", ""MolecularFormula"": ""C17H21NO4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3000322"", ""class_tags"": [""alkaloid""]}]",2
（アヘン(末））,"[{""構造対象"": ""モルヒネ"", ""検索名"": ""morphine"", ""PubChem CID"": ""5288826"", ""IUPACName"": ""(4R,4aR,7S,7aR,12bS)-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7,9-diol"", ""SMILES"": """", ""InChIKey"": ""BQJCRHHNABKAKU-KBQPJGBKSA-N"", ""MolecularFormula"": ""C17H19NO3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5288826"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""コデイン"", ""検索名"": ""codeine"", ""PubChem CID"": ""5284371"", ""IUPACName"": ""(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol"", ""SMILES"": """", ""InChIKey"": ""OROGSEYTTFOCAN-DNJOTXNNSA-N"", ""MolecularFormula"": ""C18H21NO3"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/5284371"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""パパベリン"", ""検索名"": ""papaverine"", ""PubChem CID"": ""4680"", ""IUPACName"": ""1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline"", ""SMILES"": """", ""InChIKey"": ""XQYZDYMELSJDRZ-UHFFFAOYSA-N"", ""MolecularFormula"": ""C20H21NO4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/4680"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""ノスカピン"", ""検索名"": ""noscapine"", ""PubChem CID"": ""275196"", ""IUPACName"": ""(3S)-6,7-dimethoxy-3-[(5R)-4-methoxy-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-3H-2-benzofuran-1-one"", ""SMILES"": """", ""InChIKey"": ""AKNNEGZIBPJZJG-MSOLQXFVSA-N"", ""MolecularFormula"": ""C22H23NO7"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/275196"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""メコン酸"", ""検索名"": ""meconic acid"", ""PubChem CID"": ""10347"", ""IUPACName"": ""3-hydroxy-4-oxopyran-2,6-dicarboxylic acid"", ""SMILES"": """", ""InChIKey"": ""ZEGRKMXCOCRTCS-UHFFFAOYSA-N"", ""MolecularFormula"": ""C7H4O7"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/10347"", ""class_tags"": []}]",5
（イチイ）,"[{""構造対象"": ""パクリタクセル（商品名タキソール）"", ""検索名"": ""paclitaxel"", ""PubChem CID"": ""36314"", ""IUPACName"": ""[(1S,2S,3R,4S,7R,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""RCINICONZNJXQF-MZXODVADSA-N"", ""MolecularFormula"": ""C47H51NO14"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/36314"", ""class_tags"": [""possible_alkaloid""]}, {""構造対象"": ""バッカチンIII（パクリタクセルの合成原料）"", ""検索名"": ""baccatin III"", ""PubChem CID"": ""65366"", ""IUPACName"": ""[(1S,2S,3R,4S,7R,9S,10S,12R,15S)-4,12-diacetyloxy-1,9,15-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate"", ""SMILES"": """", ""InChIKey"": ""OVMSOCFBDVBLFW-VHLOTGQHSA-N"", ""MolecularFormula"": ""C31H38O11"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/65366"", ""class_tags"": []}]",2
（キジュ）,"[{""構造対象"": ""カンプトテシン"", ""検索名"": ""camptothecin"", ""PubChem CID"": ""24360"", ""IUPACName"": ""(19S)-19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4,6,8,10,15(20)-heptaene-14,18-dione"", ""SMILES"": """", ""InChIKey"": ""VSJKWCGYPAHWDS-FQEVSTJZSA-N"", ""MolecularFormula"": ""C20H16N2O4"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/24360"", ""class_tags"": [""possible_alkaloid""]}]",1
（キナ）,"[{""構造対象"": ""キニーネ"", ""検索名"": ""quinine"", ""PubChem CID"": ""3034034"", ""IUPACName"": ""(R)-[(2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol"", ""SMILES"": """", ""InChIKey"": ""LOUPRKONTZGTKE-WZBLMQSHSA-N"", ""MolecularFormula"": ""C20H24N2O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/3034034"", ""class_tags"": [""alkaloid""]}, {""構造対象"": ""キニジン"", ""検索名"": ""quinidine"", ""PubChem CID"": ""441074"", ""IUPACName"": ""(S)-[(2R,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol"", ""SMILES"": """", ""InChIKey"": ""LOUPRKONTZGTKE-LHHVKLHASA-N"", ""MolecularFormula"": ""C20H24N2O2"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/441074"", ""class_tags"": [""alkaloid""]}]",2
（ケジギタリス）,"[{""構造対象"": ""ジゴキシン"", ""検索名"": ""digoxin"", ""PubChem CID"": ""2724385"", ""IUPACName"": ""3-[(3S,5R,8R,9S,10S,12R,13S,14S,17R)-3-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"", ""SMILES"": """", ""InChIKey"": ""LTMHDMANZUZIPE-PUGKRICDSA-N"", ""MolecularFormula"": ""C41H64O14"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/2724385"", ""class_tags"": [""cardiac_glycoside"", ""steroid""]}, {""構造対象"": ""デスラノシド"", ""検索名"": ""deslanoside"", ""PubChem CID"": ""28620"", ""IUPACName"": ""3-[(3S,5R,8R,9S,10S,12R,13S,14S,17R)-12,14-dihydroxy-3-[(2R,4S,5S,6R)-4-hydroxy-5-[(2S,4S,5S,6R)-4-hydroxy-5-[(2S,4S,5S,6R)-4-hydroxy-6-methyl-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-6-methyloxan-2-yl]oxy-6-methyloxan-2-yl]oxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"", ""SMILES"": """", ""InChIKey"": ""OBATZBGFDSVCJD-LALPQLPRSA-N"", ""MolecularFormula"": ""C47H74O19"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/28620"", ""class_tags"": [""cardiac_glycoside"", ""glycoside"", ""steroid""]}, {""構造対象"": ""ラナトシドC"", ""検索名"": ""lanatoside C"", ""PubChem CID"": ""656630"", ""IUPACName"": ""[(2R,3R,4S,6S)-6-[(2R,3S,4S,6S)-6-[(2R,3S,4S,6R)-6-[[(3S,5R,8R,9S,10S,12R,13S,14S,17R)-12,14-dihydroxy-10,13-dimethyl-17-(5-oxo-2H-furan-3-yl)-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-yl]oxy]-4-hydroxy-2-methyloxan-3-yl]oxy-4-hydroxy-2-methyloxan-3-yl]oxy-2-methyl-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-4-yl] acetate"", ""SMILES"": """", ""InChIKey"": ""JAYAGJDXJIDEKI-PTGWOZRBSA-N"", ""MolecularFormula"": ""C49H76O20"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/656630"", ""class_tags"": [""cardiac_glycoside"", ""glycoside"", ""steroid""]}]",3
（ジギタリス（末））,"[{""構造対象"": ""ジギトキシン"", ""検索名"": ""digitoxin"", ""PubChem CID"": ""441207"", ""IUPACName"": ""3-[(3S,5R,8R,9S,10S,13R,14S,17R)-3-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-14-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"", ""SMILES"": """", ""InChIKey"": ""WDJUZGPOPHTGOT-XUDUSOBPSA-N"", ""MolecularFormula"": ""C41H64O13"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/441207"", ""class_tags"": [""cardiac_glycoside"", ""steroid""]}, {""構造対象"": ""ギトキシン"", ""検索名"": ""gitoxin"", ""PubChem CID"": ""91540"", ""IUPACName"": ""3-[(3S,5R,8R,9S,10S,13R,14S,16S,17R)-3-[(2R,4S,5S,6R)-5-[(2S,4S,5S,6R)-5-[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-14,16-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"", ""SMILES"": """", ""InChIKey"": ""LKRDZKPBAOKJBT-CNPIRKNPSA-N"", ""MolecularFormula"": ""C41H64O14"", ""PubChem URL"": ""https://pubchem.ncbi.nlm.nih.gov/compound/91540"", ""class_tags"": [""cardiac_glycoside""]}]",2
